Delhi,Delhi
Mumbai,Mahārāshtra
Kolkāta,West Bengal
Bangalore,Karnātaka
Chennai,Tamil Nādu
Hyderābād,Telangana
Pune,Mahārāshtra
Ahmedabad,Gujarāt
Sūrat,Gujarāt
Lucknow,Uttar Pradesh
Jaipur,Rājasthān
Cawnpore,Uttar Pradesh
Mirzāpur,Uttar Pradesh
Nāgpur,Mahārāshtra
Ghāziābād,Uttar Pradesh
Indore,Madhya Pradesh
Vadodara,Gujarāt
Vishākhapatnam,Andhra Pradesh
Bhopāl,Madhya Pradesh
Chinchvad,Mahārāshtra
Patna,Bihār
Ludhiāna,Punjab
Āgra,Uttar Pradesh
Kalyān,Mahārāshtra
Madurai,Tamil Nādu
Jamshedpur,Jharkhand
Nāsik,Mahārāshtra
Farīdābād,Haryāna
Aurangābād,Mahārāshtra
Rājkot,Gujarāt
Meerut,Uttar Pradesh
Jabalpur,Madhya Pradesh
Thāne,Mahārāshtra
Dhanbād,Jharkhand
Allahābād,Uttar Pradesh
Vārānasi,Uttar Pradesh
Srīnagar,Jammu and Kashmīr
Amritsar,Punjab
Alīgarh,Uttar Pradesh
Bhiwandi,Mahārāshtra
Gwalior,Madhya Pradesh
Bhilai,Chhattīsgarh
Hāora,West Bengal
Rānchi,Jharkhand
Bezwāda,Andhra Pradesh
Chandīgarh,Chandīgarh
Mysore,Karnātaka
Raipur,Chhattīsgarh
Kota,Rājasthān
Bareilly,Uttar Pradesh
Jodhpur,Rājasthān
Coimbatore,Tamil Nādu
Dispur,Assam
Guwāhāti,Assam
Solāpur,Mahārāshtra
Trichinopoly,Tamil Nādu
Hubli,Karnātaka
Jalandhar,Punjab
Bhubaneshwar,Odisha
Bhayandar,Mahārāshtra
Morādābād,Uttar Pradesh
Kolhāpur,Mahārāshtra
Thiruvananthapuram,Kerala
Sahāranpur,Uttar Pradesh
Warangal,Telangana
Salem,Tamil Nādu
Mālegaon,Mahārāshtra
Kochi,Kerala
Gorakhpur,Uttar Pradesh
Shimoga,Karnātaka
Tiruppūr,Tamil Nādu
Guntūr,Andhra Pradesh
Raurkela,Odisha
Mangalore,Karnātaka
Nānded,Mahārāshtra
Cuttack,Odisha
Chānda,Mahārāshtra
Dehra Dūn,Uttarakhand
Durgāpur,West Bengal
Āsansol,West Bengal
Bhāvnagar,Gujarāt
Amrāvati,Mahārāshtra
Nellore,Andhra Pradesh
Ajmer,Rājasthān
Tinnevelly,Tamil Nādu
Bīkaner,Rājasthān
Agartala,Tripura
Ujjain,Madhya Pradesh
Jhānsi,Uttar Pradesh
Ulhāsnagar,Mahārāshtra
Davangere,Karnātaka
Jammu,Jammu and Kashmīr
Belgaum,Karnātaka
Gulbarga,Karnātaka
Jāmnagar,Gujarāt
Dhūlia,Mahārāshtra
Gaya,Bihār
Jalgaon,Mahārāshtra
Kurnool,Andhra Pradesh
